assessment status,Site_Latitude,Site_Longitude
complete,47.12383,-119.25864
complete,47.166825,-119.323725
complete,47.152128,-119.282614
complete,47.119644,-119.290401
complete,47.173209,-119.32716
complete,47.105995,-119.30347
complete,48.8254,-122.2202
complete,46.736298,-120.70312
complete,47.018545,-124.15817
complete,47.20832,-124.1995
complete,47.438813,-122.83427
complete,47.0531,-122.827646
complete,46.9861,-122.8231
complete,47.014657,-122.82224
complete,47.029608,-122.803674
complete,47.005,-122.8008
complete,47.04758,-122.77796
complete,47.04745,-122.74067
complete,47.0286,-122.8225
complete,47.051719,-122.832033
complete,47.0589,-122.7793
complete,47.02832,-122.7712
complete,47.085908,-122.834514
complete,47.005558,-122.77873
complete,47.801178,-122.220298
complete,47.785541,-122.23962
complete,48.29448,-122.666511
complete,48.329197,-122.673992
complete,48.307041,-122.597585
complete,48.301761,-122.676167
complete,48.29788,-122.644159
complete,48.30105,-122.669903
complete,48.293566,-122.659378
complete,48.300769,-122.633937
complete,46.31107,-124.03854
complete,46.313449,-124.039801
complete,46.310199,-124.038602
complete,46.861897,-124.099708
complete,46.864404,-124.100877
complete,47.0623,-122.951
complete,48.699433,-123.030444
complete,48.932699,-119.43705
complete,46.240319,-119.103483
complete,46.430314,-119.1979
complete,46.237928,-119.11091
complete,46.268405,-119.14227
complete,46.230952,-119.10196
complete,46.244477,-119.14292
complete,46.253705,-119.20496
complete,46.247032,-119.11919
complete,46.251343,-119.19956
complete,46.239992,-119.07688
complete,47.387033,-122.623905
complete,46.47288,-117.59697
complete,46.471893,-117.59584
complete,48.1127,-123.5378
complete,48.1037,-123.424
complete,48.1275,-123.474
complete,48.118821,-123.457098
complete,48.101,-123.441
complete,48.102558,-123.39039
complete,48.117,-123.4656
complete,48.128803,-122.778702
complete,47.132327,-122.296392
complete,47.102437,-122.299794
complete,47.205135,-122.282237
complete,47.1385,-122.304926
complete,47.099752,-122.303656
complete,47.17653,-122.324474
complete,47.198025,-122.31277
complete,47.19016,-122.309289
complete,47.18841,-122.298804
complete,47.226127,-122.27123
complete,47.191232,-122.302531
complete,47.140715,-122.258662
complete,47.188713,-122.277244
complete,47.199488,-122.389323
complete,47.16645,-122.273725
complete,47.1553,-122.32587
complete,47.823342,-122.87478
complete,47.947635,-124.37883
complete,47.948493,-124.38378
complete,47.9494,-124.3838
complete,47.947676,-124.382261
complete,47.24185,-119.856404
complete,47.434729,-122.187853
complete,47.497795,-122.229206
complete,47.492541,-122.23229
complete,47.501997,-122.151963
complete,47.496233,-122.163874
complete,47.499723,-122.240396
complete,47.454655,-122.16714
complete,47.482431,-122.147901
complete,47.457552,-122.198154
complete,47.481594,-122.211709
complete,47.514421,-122.165703
complete,47.456461,-122.197154
complete,47.458589,-122.210732
complete,47.465218,-122.17777
complete,46.273522,-119.28908
complete,46.295841,-119.282185
complete,45.765719,-122.67507
complete,47.966573,-117.356446
complete,47.966003,-117.353567
complete,46.910625,-119.6243
complete,47.673376,-122.392173
complete,47.546202,-122.282558
complete,47.577309,-122.40786
complete,47.601346,-122.31535
complete,47.584751,-122.315074
complete,47.724451,-122.355028
complete,47.671945,-122.292044
complete,47.642655,-122.400046
complete,47.72623,-122.286941
complete,47.529191,-122.365869
complete,47.552349,-122.314468
complete,47.558027,-122.287465
complete,47.523682,-122.324968
complete,47.686343,-122.342197
complete,47.552293,-122.296638
complete,47.685686,-122.282325
complete,47.525155,-122.274709
complete,47.682813,-122.295276
complete,47.514634,-122.258559
complete,47.552279,-122.38042
complete,47.576387,-122.292927
complete,47.605584,-122.301902
complete,47.540154,-122.388475
complete,47.54585,-122.26839
complete,47.676152,-122.328628
complete,47.687157,-122.359961
complete,47.657015,-122.338033
complete,47.565824,-122.283095
complete,47.7099,-122.292415
complete,47.632922,-122.351989
complete,47.677119,-122.322628
complete,47.57352,-122.290611
complete,47.707389,-122.285029
complete,47.657272,-122.323697
complete,47.579639,-122.386916
complete,47.662203,-122.278116
complete,47.656883,-122.390677
complete,47.601961,-122.291964
complete,47.659967,-122.340189
complete,47.548403,-122.362532
complete,47.624355,-122.31813
complete,47.686579,-122.388994
complete,47.572974,-122.389829
complete,47.612491,-122.290576
complete,47.640587,-122.392744
complete,47.608503,-122.301082
complete,47.558011,-122.318377
complete,47.637018,-122.358705
complete,47.668178,-122.326551
complete,47.634002,-122.284689
complete,47.621799,-122.304966
complete,47.676206,-122.380528
complete,47.640776,-122.304102
complete,47.694725,-122.387316
complete,47.646314,-122.359141
complete,47.714702,-122.329069
complete,47.697983,-122.321088
complete,47.638081,-122.348923
complete,47.632029,-122.35337
complete,47.523746,-122.265173
complete,47.498888,-122.26284
complete,47.67682,-122.312735
complete,47.532822,-122.375014
complete,47.698557,-122.307115
complete,47.673537,-122.26342
complete,47.5396,-122.358803
complete,47.572356,-122.39666
complete,47.613093,-122.309246
complete,47.64252,-122.323618
complete,47.517719,-122.370834
complete,47.538448,-122.29634
complete,47.680553,-122.275238
complete,47.706094,-122.360979
complete,47.598393,-122.304352
complete,47.690383,-122.296884
complete,47.541692,-122.3738
complete,47.577138,-122.384575
complete,47.670495,-122.362078
