District Name,ICOS Site ID,Site Name,ICOS Bldg ID.No.,Building Name,Latitude,Longitude,FEMA Const. Type,Year Built,Last Renovation,Gross Area (SF),No. of Floors,"Structural Drawings Avail? (Yes, No, Partial)",Has Had Structural Upgrade?,Year of Structural Upgrade,Tsunami Risk,Vs30 Measured Site Class,Vs30 (m/s),"Sds, BSE-1N (g)",ASCE 41 Tier 1 Assessed By
Marysville,21270,Shoultes Elementary School,56264,Bldg B (A Bldg in ICOS),48.118,-122.162,RM1,1958,,"12,348",1,Y,No,,NO,D,252.9,0.77,RM
Marysville,21270,Shoultes Elementary School,56266,Bldg A Gym (B Bldg in ICOS),48.118,-122.162,RM1,1964,,"6,448",1,Y,No,,NO,D,252.9,0.77,
Marysville,21270,Shoultes Elementary School,56265,Bldg D (C Bldg in ICOS),48.118,-122.162,RM1,1964,,"10,575",1,Y,No,,NO,D,252.9,0.77,RM
Marysville,21270,Shoultes Elementary School,56267,Bldg C (D Bldg in ICOS),48.118,-122.162,RM1,1967,,"9,405",1,Y,No,,NO,D,252.9,0.77,
Mount Baker,21292,Acme Elementary School,56410,Main Building,48.719,-122.209,W2,1937,,"17,964",1,N,No,,NO,D,207.5,0.7,RM
Napavine,21626,Napavine Elementary School,58512,Main Building,46.578,-122.905,W2,1951,,"15,770",1,Y,No,,NO,C,374.7,0.89,
Napavine,21627,"Napavine Junior SeniorHigh School",58513,Annex,46.577,-122.904,W2,1955,,"11,274",1,Y,No,,NO,C,374.7,0.89,WRK
Napavine,21627,"Napavine Junior SeniorHigh School",58514,Main,46.577,-122.904,S2a,1980,,"44,360",1,Y,No,,NO,C,374.7,0.89,
"Naselle-GraysRiver Valley",20167,Naselle K-12 School,51032,High School/Admin,46.377,-123.801,W2,1952,1995,"34,621",1,P,No,,NO,D,301,0.85,WRK
"Naselle-GraysRiver Valley",20167,Naselle K-12 School,51032,Elementary,46.377,-123.801,W2,1952,1995,"29,156",1,Y,No,,NO,D,301,0.85,
North Beach,21631,"North Beach Junior/Senior High School",58529,Main Building,47.019,-124.158,RM1,1991,,"71,428",1,Y,No,,YES,D,256,1.04,WSP
North Mason,21646,Belfair Elementary School,58613,Gymnasium Building,47.439,-122.834,RM1,1970,,"7,470",1,Y,No,,NO,C,376,1.3,
North Mason,21646,Belfair Elementary School,58614,Main Building,47.439,-122.834,RM2,1970,,"33,648",2,Y,No,,NO,C,376,1.3,DCI
North Mason,21649,North River School,58630,Elementary,46.775,-123.484,W2,1945,,"3,702",1,N,No,,NO,D,311,0.89,
North River,21649,North River School,58634,Gym Home Ec-Cafeteria,46.775,-123.484,W2,1922,,"9,885",1,N,No,,NO,D,311,0.89,WRK
North Mason,21649,North River School,58631,High School & Admin Building,46.775,-123.484,W2,1922,,"11,228",1,N,No,,NO,D,311,0.89,
North River,21649,North River School,58636,Talley Building (Music/Art),46.775,-123.484,W2,1945,,"2,880",1,N,No,,NO,D,311,0.89,WRK
Northshore,21333,Canyon Creek Elementary School,56750,Building A - Classroom/Library,47.805,-122.188,W2,1977,,"17,477",1,Y,No,,NO,C,431,1.05,
Northshore,21333,Canyon Creek Elementary School,56753,Building C - Cafeteria/Gym,47.805,-122.188,RM1,1977,,"18,951",1,Y,No,,NO,C,431,1.05,RM
Northshore,21335,Crystal Springs Elementary School,56775,Building 1 - Admin,47.801,-122.22,RM1,1957,,"7,626",1,Y,Yes,2010,NO,D,358,0.87,
Northshore,21335,Crystal Springs Elementary School,56774,"Building 2 -Classrooms/Kitchen",47.801,-122.22,RM1,1957,,"7,172",1,Y,Yes,2010,NO,D,358,0.87,RM
Northshore,21335,Crystal Springs Elementary School,56772,Building 3/4 - Classrooms,47.801,-122.22,RM1,1957,,"9,875",1,Y,Yes,2010,NO,D,358,0.87,
Northshore,21335,Crystal Springs Elementary School,56770,Building 5 - Classrooms,47.801,-122.22,RM1,1957,,"4,809",1,Y,Yes,2010,NO,D,358,0.87,RM
Northshore,21331,Shelton View Elementary School,56732,Building A1/10 - Classroom,47.786,-122.24,RM1,1969,1989,"8,634",1,Y,No,,NO,C,431.8,1.03,
Northshore,21331,Shelton View Elementary School,56727,Building C - Gym,47.786,-122.24,RM1,1969,1992,"5,899",1,Y,No,,NO,C,431.8,1.03,RM
Oak Harbor,20207,Clover Valley School,51299,Main Building,48.329,-122.674,W2,1951,2000,"38,208",1,Y,No,,NO,D,311,1.09,
Oak Harbor,20206,Oak Harbor Middle School,51291,Band Building,48.294,-122.659,RM1,1959,,"2,241",1,Y,No,,NO,C,499,0.91,RM
Oak Harbor,20206,Oak Harbor Middle School,51288,Building B,48.294,-122.659,W2,1961,1999,"20,107",1,Y,Yes,1999,NO,C,499,0.91,
Oak Harbor,20206,Oak Harbor Middle School,51290,C Wing,48.294,-122.659,W2,1961,1999,"27,632",1,Y,Yes,1999,NO,C,499,0.91,RM
Oak Harbor,20206,Oak Harbor Middle School,51294,D Wing,48.294,-122.659,W2,1948,1983,"1,755",1,Y,No,,NO,C,499,0.91,
Oak Harbor,20206,Oak Harbor Middle School,51293,Gym,48.294,-122.659,RM1,1959,,"12,310",1,Y,Yes,1999,NO,C,499,1.09,RM
Oak Harbor,20206,Oak Harbor Middle School,51289,Main Building A,48.294,-122.659,W2,1955,1999,"14,896",1,Y,Yes,1999,NO,C,499,0.91,
Ocean Beach,21653,Kaino Gym,58644,Kaino Gym,46.31,-124.039,W2,1885,,"3,200",1,N,No,,NO,D,184,0.86,WRK
Olympia,21670,Boston Harbor Elementary School,58698,Main Building,47.138,-122.886,W2,1991,,"27,000",1,Y,No,,NO,C,444.4,1.16,
Olympia,21662,Thurgood Marshall Middle School,58671,Gym Building,47.062,-122.951,RM1,1994,,"16,689",1,Y,No,,NO,C,454.7,1.15,DCI
Olympia,21662,Thurgood Marshall Middle School,58672,Main Building,47.062,-122.951,W2,1994,,"56,347",1,Y,No,,NO,C,454.7,1.15,
Orting,21681,Orting Primary School,58761,Main Building,47.101,-122.207,W2,1968,,"21,945",1,Y,No,,NO,D,267,0.82,WSP
Pe Ell,20211,Pe Ell School,51320,Fitness Center,46.575,-123.3,W2,1993,,"1,500",1,P,No,,NO,C,388.4,0.94,
Pe Ell,20211,Pe Ell School,51321,Main Building,46.575,-123.3,URM,1954,2006,"64,492",1,P,No,,NO,C,388.4,0.94,WRK
Peninsula,21697,Discovery Elementary School,58839,Main Building,47.332,-122.604,PC1,1980,1988,"40,337",1,Y,No,,NO,C,397,1.19,
Peninsula,21692,Gig Harbor High School,58821,Main Building,47.331,-122.605,RM1,1978,1991,"134,248",2,Y,No,,NO,C,397,1.19,DCI
Peninsula,21692,Gig Harbor High School,58819,Two-Story Building,47.331,-122.605,W2,1991,,"47,026",1,P,No,,NO,C,397,1.19,
Peninsula,21692,Gig Harbor High School,58820,Voc-Ed Building,47.331,-122.605,RM1,1978,1982,"12,544",1,P,No,,NO,C,397,1.19,DCI
Peninsula,21695,Minter Creek Elementary School,58834,Main Building,47.373,-122.693,W2,1981,,"36,146",1,Y,No,,NO,C,401,1.27,
Peninsula,21685,Peninsula High School,58793,500 Building,47.386,-122.624,W2,1946,1981,"18,439",1,P,No,,NO,C,368,1.27,DCI
Peninsula,21685,Peninsula High School,58795,600 Building,47.386,-122.624,W2,1962,1981,"13,991",2,P,No,,NO,C,368,1.27,
Peninsula,21685,Peninsula High School,58791,700 Building - Voc Ag,47.386,-122.624,PC1,1978,,"6,631",1,P,No,,NO,C,368,1.27,DCI
Peninsula,21685,Peninsula High School,58792,800 Building - Auditorium Area,47.386,-122.624,W2,1970,1992,"19,451",1,P,No,,NO,C,368,1.27,
Peninsula,21685,Peninsula High School,58794,900 Building - Pool Building,47.386,-122.624,W2,1969,1992,"19,098",2,P,No,,NO,C,368,1.27,DCI
Peninsula,21685,Peninsula High School,58796,"Main Building(100, 200, 300, 400)",47.386,-122.624,W2,1946,1992,"92,460",2,P,No,,NO,C,368,1.27,
Peninsula,21691,Voyager Elementary School,58817,Main Building,47.309,-122.679,W2,1988,,"41,088",1,Y,No,,NO,D,323.3,0.99,DCI
Port Townsend,21715,Blue Heron Middle School,58917,Main Building,48.129,-122.779,CFS2,1995,,"60,124",1,Y,No,,NO,D,350,0.9,
Puyallup,21734,Meeker Elementary School,59062,Main Building,47.188,-122.299,W2,1923,1979,"39,415",1,Y,No,,NO,E,171,1.1,DCI
Puyallup,21722,Mt View Elementary School,58954,Main Building,47.226,-122.271,W2,1965,1991,"11,093",1,Y,No,,NO,C,499.8,1.02,
Puyallup,21722,Mt View Elementary School,58954,Multipurpose Building,47.226,-122.271,RM1,1965,1991,"5,414",1,Y,No,,NO,C,499.8,1.02,DCI
Puyallup,21728,Waller Road Elementary School,59011,Main Building,47.199,-122.389,URM,1936,1985,"31,241",1,Y,Yes,1985,NO,C,554,1.05,
Puyallup,21716,Wildwood Elementary,58921,Main Building,47.166,-122.274,W2,1965,1991,"43,165",1,Y,No,,NO,C,504.2,1.01,DCI
Quillayute Valley,21754,Forks Elementary School,59199,Main Building - 1969 Portion,47.948,-124.379,W2,1970,1989,"31,392",1,N,No,,NO,C,419,1.17,
Quillayute Valley,21755,Forks Intermediate School,59203,Main Building - 1952 Portion,47.949,-124.384,W2,1956,1989,"24,029",1,N,No,,NO,C,419,1.17,WSP
Quillayute Valley,21753,Forks Junior-Senior High School,59193,"Main Junior High Building -1949 Portion",47.948,-124.384,W2,1949,,"9,048",1,N,No,,NO,C,419,1.17,
Renton,21350,Hazen Senior High School,56887,700 Building,47.501,-122.153,PC1a,1968,,"24,316",1,Y,No,,NO,C,376,1.12,RM
Renton,21350,Hazen Senior High School,56888,Bldg 1 Gym/Pool,47.501,-122.153,PC1a,1969,,"59,744",2,Y,No,,NO,C,376,1.12,
Renton,21350,Hazen Senior High School,56888,Bldg 1 Main Building,47.501,-122.153,PC1a,1969,2002,"129,832",1,Y,No,,NO,C,376,1.12,RM
Renton,21350,Hazen Senior High School,56888,"Bldg 1 Music, Band, Cafeteria",47.501,-122.153,PC1a,1969,2002,"35,959",1,Y,No,,NO,C,376,1.12,
Renton,21350,Hazen Senior High School,56885,Gym Addition,47.501,-122.153,C2a,1977,,"23,342",2,Y,No,,NO,C,376,1.12,RM
Renton,21365,Lindbergh Senior High School,56944,Gym Addition,47.455,-122.167,RM1,1979,,"7,519",1,Y,No,,NO,C,396.7,1.11,
Renton,21365,Lindbergh Senior High School,56944,Gymnasium,47.455,-122.167,RM1,1971,2010,"37,210",1,Y,Yes,2010,NO,C,396.7,1.11,RM
Renton,21365,Lindbergh Senior High School,56945,Main Building - North,47.455,-122.167,RM1,1971,2003,"184,279",1,Y,No,,NO,C,396.7,1.11,
Renton,21365,Lindbergh Senior High School,56945,Main Building - South,47.455,-122.167,RM1,1971,2003,"184,279",1,Y,No,,NO,C,396.7,1.11,RM
Renton,21354,Renton Senior High School,56901,Cafeteria/Gym,47.482,-122.212,C2a,1954,2002,"90,714",2,Y,Yes,2002,NO,D,272,0.96,
Ridgefield,21764,South Ridge Elementary School,59234,Main Building,45.766,-122.675,S5a,1961,1993,"40,588",1,N,No,,NO,D,316,0.64,WRK
Skamania,21784,Skamania Elementary School,59377,Main Building,45.617,-122.049,W2,1947,,"14,277",1,P,No,,NO,D,319,0.55,
Snohomish,21397,Cathcart Elementary School,57090,100 Building,47.827,-122.122,RM1,1966,,"4,608",1,N,No,,NO,C,474,1.06,RM
Snohomish,21397,Cathcart Elementary School,57091,200 Building,47.827,-122.122,RM1,1966,,"3,371",1,N,No,,NO,C,474,1.06,
Snohomish,21397,Cathcart Elementary School,57089,300 Building,47.827,-122.122,RM1,1966,,"2,352",1,N,No,,NO,C,474,1.06,RM
Snohomish,21397,Cathcart Elementary School,57088,400 Building,47.827,-122.122,RM1,1966,,"4,612",1,N,No,,NO,C,474,1.06,
Snohomish,21397,Cathcart Elementary School,57092,500 Building,47.827,-122.122,RM1,1980,,"5,766",1,N,No,,NO,C,474,1.06,RM
Snohomish,21397,Cathcart Elementary School,57094,600 Building,47.827,-122.122,RM1,1966,,"3,112",1,N,No,,NO,C,474,1.06,
Snohomish,21397,Cathcart Elementary School,57093,700 Building,47.827,-122.122,RM1,1970,,"9,786",1,N,No,,NO,C,474,1.06,RM
Snohomish,21396,Central Elementary School,57085,Main Building,47.914,-122.092,"C2a, W2",1948,,"30,031",2,N,No,,NO,C,438,0.97,
Snohomish,21406,Emerson Elementary School,57133,Annex,47.925,-122.084,W2,1958,,"10,393",1,N,No,,NO,C,527.6,0.95,RM
Snohomish,21406,Emerson Elementary School,57132,Main Building,47.925,-122.084,W2,1954,,"29,645",1,N,No,,NO,C,527.6,0.95,
South Bend,20228,South Bend Jr/Sr High School,51397,Main Building High School,46.662,-123.792,W2,1968,2010,"51,000",1,N,No,,YES,E,109,1.18,WRK
South Whidbey,21424,"South Whidbey Grades 5 & 6 -(Formerly S. Whid. Primary)",57247,A- Classrooms,48.026,-122.456,RM1,1969,,"7,253",1,N,No,,NO,C,460,0.95,
South Whidbey,21424,"South Whidbey Grades 5 & 6 -(Formerly S. Whid. Primary)",57245,C - Classrooms/Admin,48.026,-122.456,RM1,1969,,"7,253",1,N,No,,NO,C,460,0.95,RM
South Whidbey,21424,"South Whidbey Grades 5 & 6 -(Formerly S. Whid. Primary)",57249,D - WIA Office/Classrooms,48.026,-122.456,RM1,1969,,"8,827",1,P,Yes,1996,NO,C,460,0.95,
South Whidbey,21424,"South Whidbey Grades 5 & 6 -(Formerly S. Whid. Primary)",57250,E - Classrooms,48.026,-122.456,RM1,1969,,"4,880",1,P,Yes,1996,NO,C,460,0.95,RM
South Whidbey,21424,"South Whidbey Grades 5 & 6 -(Formerly S. Whid. Primary)",57248,F - Multipurpose,48.026,-122.456,W2,1969,,"6,722",1,Y,Yes,1996,NO,C,460,0.95,
Spokane,20792,Bancroft (The Community School),53586,Main Building,47.672,-117.428,URM,1954,,"26,081",1,Y,No,,NO,C,461,0.27,DCI
Spokane,20782,Bryant Center,53558,Main Building,47.665,-117.437,RM1,1960,,"21,163",1,Y,No,,NO,C,389,0.27,
Spokane,20757,Havermale (Montessori),53500,"Main Building 1928 &1940 Areas",47.677,-117.432,URMa,1928,,"43,822",2,N,No,,NO,C,449,0.27,DCI
Spokane,20757,Havermale (Montessori),53500,Main Building 1928 Gym,47.677,-117.432,URM,1928,,"8,385",1,N,No,,NO,C,449,0.27,
Spokane,20757,Havermale (Montessori),53500,Main Building 1965 Areas,47.677,-117.432,URM,1928,,"31,600",2,Y,No,,NO,C,449,0.27,DCI
Spokane,20791,Madison Elementary School,53579,Main Building,47.709,-117.416,URM,1948,,"35,390",1,Y,No,,NO,D,328.8,0.32,
Stanwood-Camano,20237,Stanwood Elementary School,51456,Main Building Unit C 1966,48.245,-122.372,W2,1966,,"9,504",1,Y,Yes,1995,YES,E,176,1.01,RM
Stanwood-Camano,20237,Stanwood Elementary School,51456,Main Building Unit C 1981,48.245,-122.372,W2,1981,,"10,909",1,Y,No,,YES,E,176,1.01,
Stanwood-Camano,20237,Stanwood Elementary School,51456,"Main Building Units A, B",48.245,-122.372,W2,1956,1996,"24,124",1,Y,Yes,1995,YES,E,176,1.01,RM
Stanwood-Camano,20235,Stanwood Middle School,51449,"Building 3 - Music(Band & Choir)",48.242,-122.361,RM1,1957,1992,"4,765",1,Y,No,,YES,E,163,1,
Stanwood-Camano,20235,Stanwood Middle School,51448,"Main Building (Building 1)Unit D",48.242,-122.361,S2a,1992,,"8,840",1,Y,No,,YES,E,163,1,RM
Stanwood-Camano,20235,Stanwood Middle School,51448,"Main Building (Building 1)Unit G",48.242,-122.361,W2,1989,,"15,091",2,Y,No,,YES,E,163,1,
Stanwood-Camano,20235,Stanwood Middle School,51448,"Main Building (Building 1)Units E & F",48.242,-122.361,RM1,1968,,"12,271",1,Y,No,,YES,E,163,1,RM
Stanwood-Camano,20232,Twin City Elementary School,51411,Main Building,48.235,-122.329,S2a,1988,,"43,962",2,Y,No,,NO,D,300,0.79,
Stevenson-Carson,21808,Carson Elementary School,59495,Main Building,45.726,-121.813,W2,1951,,"49,183",1,Y,No,,NO,C,419.1,0.49,WRK
Stevenson-Carson,21807,Stevenson High School,59488,Main Building,45.701,-121.887,W2,1954,,"75,594",2,Y,No,,NO,D,270,0.53,
Stevenson-Carson,21807,Stevenson High School,59491,Vocational Building,45.701,-121.887,RM1,1964,,"17,428",1,Y,No,,NO,D,270,0.53,WRK
Stevenson-Carson,21810,Wind River Education Center,59499,Main Building,45.726,-121.811,PC1,1970,1985,"53,660",1,Y,No,,NO,C,419.1,0.49,
Tacoma,21826,DeLong Elementary School,59598,First Bldg-Bldg B,47.249,-122.501,W2,1958,1986,"16,249",1,Y,No,,NO,C,443,1.1,DCI
Tacoma,21826,DeLong Elementary School,59597,Original Bldg-Bldg A,47.249,-122.501,W2,1953,1986,"23,244",1,Y,No,,NO,C,443,1.1,
Tacoma,21867,Edison Elementary School,59747,Main Building,47.204,-122.474,W2,1997,,"65,034",2,Y,No,,NO,C,409,1.08,DCI
Tacoma,21883,Foss High School,59802,Gym-Pool-Cafeteria,47.239,-122.495,RM1,1972,2005,"99,502",3,Y,No,,NO,C,432,1.1,
Tacoma,21883,Foss High School,59802,Main Building - 2003 Addition,47.239,-122.495,S2a,2003,,,2,Y,No,,NO,C,432,1.1,DCI
Tacoma,21883,Foss High School,59802,Main Building - North,47.239,-122.495,RM2,1972,2005,"56,508",1,Y,No,,NO,C,432,1.1,
Tacoma,21883,Foss High School,59802,Main Building - South,47.239,-122.495,RM2,1972,2005,"100,003",3,Y,No,,NO,C,432,1.1,DCI
Tacoma,21824,Franklin Elementary School,59589,Main Building,47.248,-122.479,RM1,1997,,"60,957",2,Y,No,,NO,C,508,1.09,
Tacoma,21884,Larchmont Elementary School,59804,Original Building,47.178,-122.428,W2,1969,,"33,480",1,Y,No,,NO,C,515.7,1.06,DCI
Tacoma,21879,Lister Elementary School,59790,Main Building,47.216,-122.4,W2,1998,,"72,548",2,Y,No,,NO,C,513,1.06,
Tacoma,21827,Manitou Park Elementary School,59601,Main Building,47.197,-122.495,W2,1994,,"69,257",2,Y,No,,NO,C,391.2,1.08,DCI
Tacoma,21845,Mann Elementary School,59664,Main Building,47.21,-122.448,W2,1952,,"55,848",2,Y,No,,NO,C,561,1.07,
Tacoma,21834,"Northeast TacomaElementary School",59627,Gym Bldg-Bldg 2,47.282,-122.375,RM1,1993,,"13,492",1,Y,No,,NO,C,453.9,1.07,DCI
Tacoma,21834,"Northeast TacomaElementary School",59626,Main Bldg-Bldg 1,47.282,-122.375,W2,1993,,"42,607",2,Y,No,,NO,C,453.9,1.07,
Tacoma,21863,Point Defiance Elementary School,59730,Main Building,47.29,-122.518,W2,1959,1987,"29,049",1,Y,No,,NO,C,428,1.13,DCI
Tacoma,21835,Reed Elementary School,59628,Main Building,47.226,-122.461,W2,1950,1987,"36,363",2,Y,No,,NO,C,439,1.08,
Tacoma,21853,Roosevelt Elementary School,59688,Main Bldg,47.228,-122.399,W2,1972,,"51,763",1,Y,No,,NO,C,562.2,1.06,DCI
Tacoma,21861,Sheridan Elementary School,59723,Main Building,47.209,-122.42,W2,1993,,"58,876",2,Y,No,,NO,C,541,1.06,
Tacoma,21837,Stanley Elementary School,59636,First Bldg,47.245,-122.46,W2,1989,,"42,378",1,Y,No,,NO,C,452,1.09,DCI
Tacoma,21837,Stanley Elementary School,59635,Gym Bldg,47.245,-122.46,RM1,1971,1989,"15,061",1,Y,No,,NO,C,452,1.09,
Tacoma,21872,Tacoma School of the Arts-Pacific,59768,SOTA Pacific Ave,47.244,-122.437,URM,1904,,"21,601",2,Y,No,,NO,C,399,1.08,DCI
Tacoma,21862,Willie Stewart Academy,59727,Main Bldg,47.245,-122.443,URM,1919,,"5,985",1,Y,No,,NO,C,549,1.08,
Toledo,21891,Toledo Elementary School,59838,Main Building,46.439,-122.853,RM1,1954,1995,"51,401",1,P,No,,NO,D,241,0.74,WRK
Toledo,21892,Toledo Middle School,59842,Classroom Bldg. (Bldg #2),46.441,-122.85,W2,1952,1996,"7,594",2,P,No,,NO,C,603,0.82,
Toledo,21892,Toledo Middle School,59844,Main Building (Bldg. #1),46.441,-122.85,W2,1952,1996,"35,056",2,P,No,,NO,C,603,0.82,WRK
University Place,21910,Curtis Senior High School,59969,500 Building,47.222,-122.55,RM1,1971,,"18,408",1,Y,No,,NO,D,343,0.92,
University Place,21913,Sunset Primary School,59982,Main Building,47.216,-122.564,W2,1966,1993,"37,958",1,Y,No,,NO,C,373.2,1.11,DCI
Wahkiakum,20834,"Julius A. Wendt Elementary/John C. Thomas Middle School",53717,"J A Wendt ElementarySchool",46.201,-123.38,W2,1952,1994,"28,694",1,N,No,,NO,C,396,0.83,
West Valley (Yakima),20268,West Valley Junior High School,51547,WVJH (Gym Building),46.578,-120.608,PC1a,1978,,"27,797",1,Y,No,,NO,C,428.9,0.42,WRK
West Valley (Yakima),20268,West Valley Junior High School,51546,WVJH (Main Building),46.578,-120.608,RM2,1978,,"89,273",1,Y,No,,NO,C,428.9,0.42,
White River,20285,"Mountain MeadowElementary School",51616,Main Building,47.151,-122.059,W2,1990,,"45,060",1,Y,No,,NO,C,398.8,0.93,WSP
Willapa Valley,21956,Willapa Elementary School,60150,Main Building,46.676,-123.665,W2,1963,2012,"14,041",1,P,No,,NO,D,318,0.88,
Woodland,21961,Columbia Elementary School,60181,1991 Addition,45.903,-122.753,RM1,1993,,"13,711",2,N,No,,NO,E,158,0.71,WRK
Woodland,21961,Columbia Elementary School,60181,Main Building,45.903,-122.753,RM1,1972,1993,"47,585",2,P,No,,NO,E,158,0.71,
Woodland,21963,Woodland Middle School,60193,Gymnasium Building,45.904,-122.748,URM,1954,1983,"27,033",1,Y,No,,NO,E,158,0.71,WRK
Woodland,21963,Woodland Middle School,60193,Main Building,45.904,-122.748,URMa,1954,,"54,228",1,P,No,,NO,E,158,0.71,
Woodland,21963,Woodland Middle School,60193,Performing Arts,45.904,-122.748,RM1,1954,,"9,011",1,P,No,,NO,E,158,0.71,WRK
Woodland,21963,Woodland Middle School,60192,"Shared High School /Middle School",45.904,-122.748,URM,1954,,"12,167",1,P,No,,NO,E,158,0.71,
Woodland,21963,Woodland Middle School,60193,Vocational Building,45.904,-122.748,RM1,1954,,"8,021",1,P,No,,NO,E,158,0.71,WRK
Yakima,20879,Adams Elementary School,53952,8 Plex Bldg D,46.595,-120.49,URM,1971,,"8,710",1,Y,No,,NO,C,626.6,0.41,
Yakima,20879,Adams Elementary School,53950,BLDG C-1,46.595,-120.49,RM1,1960,,"4,025",1,Y,No,,NO,C,626.6,0.41,WRK
Yakima,20879,Adams Elementary School,53953,Old Gym C,46.595,-120.49,RM1,1960,,"5,680",1,Y,No,,NO,C,626.6,0.41,
Yakima,20890,Hoover Elementary School,54025,Area D - Annex Building,46.581,-120.512,W2,1975,,"5,050",1,P,No,,NO,C,636,0.41,WRK
Yakima,20890,Hoover Elementary School,54021,Classrooms - Area F,46.581,-120.512,W2,1975,,"2,170",1,P,No,,NO,C,636,0.41,
Yakima,20890,Hoover Elementary School,54023,Main Building - Area A,46.581,-120.512,W2,1948,,"20,868",1,P,No,,NO,C,636,0.41,WRK
Yakima,20890,Hoover Elementary School,54023,Main Building - Area B,46.581,-120.512,W2,1948,,"22,095",1,P,No,,NO,C,636,0.41,
Yakima,20881,Nob Hill Elementary School,53961,Main Building,46.59,-120.553,URM,1951,1986,"36,889",1,Y,No,,NO,C,434,0.41,WRK
Yakima,20875,Robertson Elementary School,53918,"100 Building - Bldg ""B""",46.605,-120.547,RM1,1958,1990,"1,990",1,Y,No,,NO,C,627,0.41,
Yakima,20875,Robertson Elementary School,53917,"200 Building - Bldg ""C""",46.605,-120.547,RM1,1958,1990,"4,200",1,Y,No,,NO,C,627,0.41,WRK
Yakima,20875,Robertson Elementary School,53919,"300 Building - Bldg ""D""",46.605,-120.547,RM1,1958,1990,"6,848",1,Y,No,,NO,C,627,0.41,
Yakima,20875,Robertson Elementary School,53930,"400 Building - Bldg ""E""",46.605,-120.547,RM1,1958,1990,"6,848",1,Y,No,,NO,C,627,0.41,WRK
Yakima,20875,Robertson Elementary School,53920,"500 Building - Bldg ""G""",46.605,-120.547,RM1,1958,1990,"5,668",1,Y,No,,NO,C,627,0.41,
Yakima,20882,Wilson Middle School,53968,Main Building,46.589,-120.567,URMa,1961,1996,"82,203",1,P,No,,NO,C,560.2,0.42,WRK
Yakima,20882,Wilson Middle School,53969,Science Building,46.589,-120.567,URMa,1961,1996,"5,541",1,P,No,,NO,C,560.2,0.42,
