School Building: Year of Most Recent Seismic Improvements (old),Building/School (2024),Year of Most Recent Seismic Retrofit (2024),,URMs,URMs notes
Garfield High School: 2006,Garfield High School,2006: major renovation,,,
Gatewood Elementary: 2017,Gatewood Elementary,2017,,unreinforced masonry,
"Gatzert, Bailey Elementary: 2008",Bailey Gatzert Elementary,2008,,,
Genesee Hill Elementary: 2016,Genesee Hill Elementary,2016: new construction,,,
Graham Hill Elementary: 2022,Graham Hill Elementary,2022,,,
Green Lake Elementary: 2001,Green Lake Elementary,2001,,,
Greenwood Elementary: 2002,Greenwood Elementary,2002,,unreinforced masonry,
"Hale, Nathan High School: 2012","Hale, Nathan",2012: major renovation,,,
Hamilton International Middle School: 2010,Hamilton International Middle School,2010: major renovation,,,
Hawthorne Elementary: 2011,Hawthorne Elementary,2011,,,
"Hay, John Elementary: 2013",John Hay Elementary,2013,,,
Highland Park Elementary: 1999,Highland Park Elementary,1999: new construction,,,
"Hughes, E.C. School (Roxhill Elementary): 2018","Hughes, E.C. (Roxhill)",2018: major renovation,Roxhill Elementary (@E.C. Hughes): 2018,unreinforced masonry,Major renovation
Ingraham High School: 2019,Ingraham High School,2019,,,
Kimball Elementary: 2015 (BEX V replacement expected to open 2023),Kimball Elementary,2023: new construction,,,
"King, Jr., Martin Luther Elementary: 2006","King, Jr., Martin Luther",2006: new construction,,,
"Kurose, Aki Middle School: 1994",Aki Kurose Middle School,1994,,,
Lafayette Elementary: 2021,Lafayette Elementary,2021,,,
Latona (John Stanford International Elementary): 2000,John Stanford International Elementary,2000: major renovation,"Stanford, John International Elementary (@Latona): 2000",,
Laurelhurst Elementary: 2019,Laurelhurst,2019,,unreinforced masonry,
Lawton Elementary: 2008,Lawton,2008,,,
Leschi Elementary: 2018,Leschi,2018,,,
Lincoln High School: 2022,Lincoln,2019: west buildings major renovation; 2022: east buildings major renovation,,unreinforced masonry,Major renovation (west buildings 2019)
Lowell Elementary: 2018,Lowell,2018,,unreinforced masonry,
Loyal Heights Elementary: 2018,Loyal Heights,2018: major renovation,,,
"Madison, James Middle School: 2004","Madison, James",2004,,,
"Madrona Elementary, 2002",Madrona,2002,,,
"Magnolia Elementary, 2019",Magnolia,2019: major renovation,,unreinforced masonry,Major renovation
"Mann, Horace (Nova High School): 2015","Mann, Horace (Nova)",2015: major renovation,Nova High School (@ Horace Mann): 2015,unreinforced masonry,Major renovation
Maple Elementary: 2020,Maple,2020,,,
"Marshall, John Interim Site: 2014",John Marshall Interim Site,2014,,unreinforced masonry,
